age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,split,capital_gain_topcoded,hours_iqr_outlier,high_sampling_weight,income_binary,net_capital,has_capital_gain,has_capital_loss,log_capital_gain,log_fnlwgt,age_group,hours_group,is_united_states,is_married,workclass_simplified
39,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K,train,0,0,0,0,2174,1,0,7.684783943522785,11.258252546125393,35-44,standard_40,1,0,Government
50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.33034787540268,45-54,part_time,1,1,Self-employed
38,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.281398090548665,35-44,standard_40,1,0,Private
53,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.366157114131235,45-54,standard_40,1,1,Private
28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K,train,0,0,0,0,0,0,0,0.0,12.732013457105012,25-34,standard_40,0,1,Private
37,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.558780229895266,35-44,standard_40,1,1,Private
49,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,<=50K,train,0,1,0,0,0,0,0,0.0,11.984103404443733,45-54,part_time,0,1,Private
52,Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.253161363059847,45-54,overtime,1,1,Self-employed
31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,>50K,train,0,0,0,1,14084,1,0,9.552865680310473,10.731646279751951,25-34,overtime,1,0,Private
42,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,>50K,train,0,0,0,1,5178,1,0,8.552367266423891,11.979485672438203,35-44,standard_40,1,1,Private
37,Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States,>50K,train,0,1,0,1,0,0,0,0.0,12.544204218975967,35-44,very_high,1,1,Private
30,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K,train,0,0,0,1,0,0,0,0.0,11.858626414290775,25-34,standard_40,0,1,Government
23,Private,122272,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.71401152870049,17-24,reduced,1,0,Private
32,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.230862814337392,25-34,overtime,1,0,Private
40,Private,121772,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Unknown,>50K,train,0,0,0,1,0,0,0,0.0,11.70991393480758,35-44,standard_40,0,1,Private
