age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,split,capital_gain_topcoded,hours_iqr_outlier,high_sampling_weight,income_binary,net_capital,has_capital_gain,has_capital_loss,log_capital_gain,log_fnlwgt,age_group,hours_group,is_united_states,is_married,workclass_simplified,workclass_code,education_code,marital_status_code,occupation_code,relationship_code,race_code,sex_code,native_country_code,age_group_code,hours_group_code,workclass_simplified_code,age_z,education_num_z,hours_per_week_z,log_capital_gain_z,log_fnlwgt_z,net_capital_z
39,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K,train,0,0,0,0,2174,1,0,7.684783943522785,11.258252546125393,35-44,standard_40,1,0,Government,6,9,4,0,1,4,1,38,2,3,0,0.025724374577702387,1.1365954198063153,-0.03430365770752064,2.8436122615345294,-1.1490695761032135,0.15805030616437477
50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K,train,0,1,0,0,0,0,0,0.0,11.33034787540268,45-54,part_time,1,1,Self-employed,5,9,2,3,0,4,1,38,3,1,2,0.8281249124466101,1.1365954198063153,-2.213334888635069,-0.2980141118316148,-1.0347654792818117,-0.13268256725509925
38,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.281398090548665,35-44,standard_40,1,0,Private,3,11,0,5,1,4,1,38,2,3,1,-0.04722112886492559,-0.4196853759132791,-0.03430365770752064,-0.2980141118316148,0.4730844322700754,-0.13268256725509925
53,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.366157114131235,45-54,standard_40,1,1,Private,3,1,2,5,0,2,1,38,3,3,1,1.046961422774494,-1.1978257737730762,-0.03430365770752064,-0.2980141118316148,0.6074662810692848,-0.13268256725509925
28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K,train,0,0,0,0,0,0,0,0.0,12.732013457105012,25-34,standard_40,0,1,Private,3,9,2,9,5,2,0,4,1,3,1,-0.7766761632912054,1.1365954198063153,-0.03430365770752064,-0.2980141118316148,1.1875160466949906,-0.13268256725509925
37,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K,train,0,0,0,0,0,0,0,0.0,12.558780229895266,35-44,standard_40,1,1,Private,3,12,2,3,5,4,0,38,2,3,1,-0.12016663230755356,1.5256656187362139,-0.03430365770752064,-0.2980141118316148,0.9128620881908459,-0.13268256725509925
49,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Jamaica,<=50K,train,0,1,0,0,0,0,0,0.0,11.984103404443733,45-54,part_time,0,1,Private,3,6,3,7,1,2,0,22,3,1,1,0.7551794090039822,-1.9759661716328734,-1.9712203074208972,-0.2980141118316148,0.0017362752441523314,-0.13268256725509925
52,Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K,train,0,0,0,1,0,0,0,0.0,12.253161363059847,45-54,overtime,1,1,Self-employed,5,11,2,3,0,4,1,38,3,0,2,0.9740159193318662,-0.4196853759132791,0.36922064431609947,-0.2980141118316148,0.42831629451197345,-0.13268256725509925
31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,United-States,>50K,train,0,0,0,1,14084,1,0,9.552865680310473,10.731646279751951,25-34,overtime,1,0,Private,3,12,4,9,1,4,0,38,1,0,1,-0.5578396529633214,1.5256656187362139,0.7727449463397196,3.607305150629016,-1.983981549759598,1.7507957166638852
42,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,>50K,train,0,0,0,1,5178,1,0,8.552367266423891,11.979485672438203,35-44,standard_40,1,1,Private,3,9,2,3,0,4,1,38,2,3,1,0.24456088490558633,1.1365954198063153,-0.03430365770752064,3.198290111731746,-0.0055849436412662105,0.5597805507605569
